Date,Open_T0,High_T0,Low_T0,Close_T0,AdjClose_T0,IncClose_T10,Increase,Volume_T0,Day,Month,Week,Open_S1,High_S1,Low_S1,Close_S1,AdjClose_S1,Volume_S1,Open_S2,High_S2,Low_S2,Close_S2,AdjClose_S2,Volume_S2,Open_S3,High_S3,Low_S3,Close_S3,AdjClose_S3,Volume_S3,Open_C1,High_C1,Low_C1,Close_C1,AdjClose_C1,Volume_C1,Open_C2,High_C2,Low_C2,Close_C2,AdjClose_C2,Volume_C2,Open_C3,High_C3,Low_C3,Close_C3,AdjClose_C3,Volume_C3
2017-02-16,442.737,449.214996,434.114014,447.739014,420.815125,1.02140966,1,5059498,Fri,2,7,442,447.75,436,445.899994,445.899994,968146,408.549988,426,408.549988,424,416.294525,1360235,243.626007,250.630005,241.863007,249.375,220.711243,81604,184.050003,188,182.25,187.449997,175.962662,2742051,90.449997,94.699997,90.449997,92.550003,92.550003,21297456,59.150002,60.75,58.150002,60.400002,59.451805,12774408
2017-02-17,449.977997,452.407013,444.595001,446.071014,419.247406,0.9962746155,0,4116691,Mon,2,7,448.899994,456.799988,442.75,452.700012,452.700012,926504,424,433.799988,421.399994,431.5,423.658295,1184805,250.233994,250.785004,245.828003,247.964996,219.463303,76424,188.100006,189.100006,184.100006,184.899994,173.568924,2679540,93.050003,94.5,92,93,93,11452382,60.700001,61.599998,59.599998,59.849998,58.910435,6301218
2017-02-20,445.881012,465.888,442.783997,464.029999,436.126495,1.040260372,1,8859905,Tue,2,8,452,458.25,449.450012,455.5,455.5,533916,431.899994,438.399994,426.450012,434.450012,426.554657,1216989,247.591003,252.084,247.591003,250.630005,221.821991,56084,184.949997,189.800003,183.600006,188.300003,176.760574,3116627,93.449997,102.699997,93,100.150002,100.150002,55711331,60.150002,62.200001,59.700001,61.650002,60.682182,7778276
2017-02-21,465.841003,472.462006,462.076996,467.746002,439.619019,1.008008109,1,8463741,Wed,2,8,458,462.75,454.700012,458.950012,458.950012,648219,433.950012,458.5,430.100006,457.299988,448.989349,2381361,250.673996,256.600006,249.992004,255.763,226.36499,145615,189,191.75,185.649994,186.949997,175.493301,2738266,101,110.150002,101,109.400002,109.400002,58706739,62.099998,62.75,61.700001,62.25,61.272762,5282801
2017-02-22,467.269989,468.221985,457.88501,461.171997,433.440338,0.9859453529,0,5259099,Mon,2,8,461,466.700012,456.649994,460.149994,460.149994,653447,457.200012,458,438.5,440,432.003815,2543124,256.578003,260.300995,256.181,256.798004,227.281021,154313,187.199997,187.649994,182.199997,185,173.662796,3420915,109.599998,111.5,103.199997,110.25,110.25,39187776,62.450001,62.549999,60.299999,60.5,59.550236,5899247
2017-02-23,462.173004,464.839996,455.550995,462.791992,434.962921,1.003512778,1,5049101,Tue,2,8,464,464.899994,457.649994,462,462,559233,440.399994,441.600006,431,432.950012,425.081909,3737985,257.722992,259.045013,253.164001,253.957001,224.766586,116860,185.600006,187.550003,184.100006,186.949997,175.493301,3565755,110.25,117.900002,107,116.599998,116.599998,49390545,60.150002,60.549999,59.549999,60.099998,59.156513,11849267
2017-02-27,462.268005,465.078003,456.837006,457.88501,430.351013,0.9893970032,0,2866361,Wed,2,9,465,465,455.100006,457.299988,457.299988,709474,433,438.549988,425.75,435.350006,427.438324,891399,254.132996,254.132996,248.052994,249.617004,220.92543,57074,187,189.899994,185,185.300003,173.944412,2479199,115.949997,125.5,114.349998,124.699997,124.699997,52265713,60.75,61.299999,60.099998,60.349998,59.402588,4430390
2017-02-28,458.743011,462.791992,457.742004,459.885986,432.231628,1.00437004,1,3571696,Thu,2,9,459.700012,459.700012,454.100006,456.149994,456.149994,252303,434.950012,439.899994,432.649994,437.200012,429.2547,995271,249.617004,252.128006,246.048996,247.084,218.683578,65518,185.300003,188.050003,185,186.949997,175.493301,2568373,126.5,129.550003,124.800003,125.449997,125.449997,41787690,60.450001,61.799999,60.299999,61.200001,60.239246,5572783
2017-03-01,462.076996,478.75,460.553009,476.701996,448.036469,1.036565607,1,8099375,Fri,3,9,457.5,457.5,448,449.100006,449.100006,467953,438.100006,442.600006,435.649994,438.149994,430.187378,602504,247.149994,250.983002,245.871994,249.992004,221.257324,65350,188.050003,192.600006,186.75,189.800003,178.168655,6984828,125.5,127.349998,123.800003,126.25,126.25,19000271,61.650002,63.549999,61.25,63.349998,62.355492,8575981
2017-03-02,478.273987,481.70401,468.984985,471.270996,442.932037,0.9886071381,0,6006434,Mon,3,9,458.799988,467.899994,453.299988,461.049988,461.049988,1049729,441,446,428,430.450012,422.62735,1145833,251.115005,252.613007,245.828003,246.798004,218.43045,71971,190.550003,190.899994,181.899994,183.5,172.254745,5014563,127.449997,128.5,124.050003,125.050003,125.050003,16033684,64.199997,64.650002,61.400002,61.900002,60.928257,9286145
2017-03-03,471.175995,474.225006,466.411987,471.700012,443.335266,1.000910338,1,3524481,Tue,3,9,463,467,458.700012,460.100006,460.100006,420227,430.450012,441,428.799988,439.850006,431.856506,853988,246.710007,248.824005,241.863007,247.964996,219.463303,143116,183,185.300003,181.949997,184,172.724091,3072562,124.900002,128.25,122.650002,126.400002,126.400002,11527055,61.450001,62.400002,61.099998,62.150002,61.174332,4983590
2017-03-06,471.700012,477.321014,467.07901,469.412994,441.18576,0.9951515414,0,4359472,Wed,3,10,462,472.299988,462,470.700012,470.700012,489685,440.700012,444,436.200012,438.049988,430.089203,767048,250.233994,254.352997,246.886002,250.057999,221.315735,167512,184.050003,186.300003,183.149994,184.850006,173.522003,2405448,128.899994,129.699997,124.699997,125.949997,125.949997,13014483,62.200001,62.75,61.700001,62.349998,61.371189,4161256
2017-03-07,470.175995,470.652008,457.933014,459.218994,431.604767,0.9782835155,0,5377344,Thu,3,10,470.700012,475.799988,465.5,467.100006,467.100006,507504,440,444.850006,434.600006,439.549988,431.561981,1118365,250.673996,254.727997,249.507004,253.274002,224.162079,134188,185.399994,185.649994,181,181.449997,170.330353,2337750,127.099998,127.849998,124.300003,124.800003,124.800003,7491482,62.200001,62.200001,60.200001,60.400002,59.451805,3983018
2017-03-08,461.981995,463.411011,447.881989,450.119995,423.052917,0.9801859263,0,6229751,Fri,3,10,470,470,461.399994,462.649994,462.649994,338660,439,443.700012,435.25,440.950012,432.936523,727813,252.436996,253.757996,248.031006,249.529007,220.847549,38316,181.649994,182.149994,177,178.050003,167.138733,5030575,125,125.400002,119.300003,122.300003,122.300003,13736101,60.549999,60.950001,59,59.75,58.812008,5860622
2017-03-09,449.596008,452.882996,445.595001,447.261993,420.366791,0.9936505776,0,4718814,Mon,3,10,462.600006,469.799988,461.5,467.600006,467.600006,338535,442,447.5,438.049988,442.25,434.212921,998661,248.384003,250.432007,247.039993,248.009003,219.502258,952245,176.699997,178.850006,175.649994,176.850006,166.012253,2814093,121.800003,125.650002,114,118.25,118.25,40098048,59.299999,60.049999,58.900002,59.25,58.319859,3887612
2017-03-10,446.356995,451.977997,440.355011,445.643005,418.845154,0.9963802245,0,4748019,Tue,3,10,472,472,465.299988,468.950012,468.950012,407708,441.25,447.25,440.25,445.299988,437.207428,798924,247.591003,249.220993,244.770996,246.488998,218.156952,41625,177,178.899994,175.149994,176.25,165.449005,1965462,120.900002,127.25,120.5,125.5,125.5,40470789,59.799999,60.200001,58.75,59.299999,58.369072,4074793
